가상자산사업자 신고에 관한 정보공개 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"● 신고한 업무(가~마) 외 NFT 매매, 가상자산 예치 및 랜딩, DeFi 서비스 등은 「특정금융정보법」상 신고 업무에 해당하지 않음",,,,,,,,,,,,,,
,,,,,,,,,,,,,,(2026.08.31.기준)
No.,서비스명,법인명,사업자등록번호,신고한 업무,대표자,소재지(사업장),신고접수,신고수리증 교부일,,,,,"갱신신고
수리증 교부일",직권말소
,,,,,,,,,소재지등 변경,등기임원 변경,수행행위 변경,실명확인계정,,
1,업비트,두나무 주식회사,119-86-54968,다 ~ 마,오경석,"서울특별시 서초구 강남대로 369
서울특별시 강남구 테헤란로 4길 14",2021.8.20. 접수,2021.10.06.,"2021.12.02.
2023.07.14.
2023.10.25.","2022.01.28.
2022.05.17.
2022.06.14.
2025.06.27.
2026.05.13.",,"2024.10.04.
2025.10.02.",2025.12.23.,
2,코빗,디지털엑스 주식회사,220-88-61399,다 ~ 마,오세진,서울특별시 강남구 테헤란로5길 7,2021.9.10. 접수,2021.10.20.,,"2022.05.11.
2023.02.24.
2024.04.05.
2024.05.31.
2025.02.06
2025.07.18.
2025.09.15.
2025.12.19.
2026.03.19.",,"2022.02.24.
2022.06.28.
2023.02.24.
2024.03.08.
2024.12.31.
2025.12.31.
2026.05.11.",2026.02.06.,
3,코인원,주식회사 코인원,261-81-07437,다 ~ 마,차명훈,서울특별시 영등포구 여의대로 108,2021.9.10. 접수,2021.11.25.,"2022.05.16.
2026.01.08.","2022.03.04.
2024.05.31.
2025.02.24.
2025.03.10.
2025.08.05.
2025.12.24.
2026.03.19.
2026.04.21.
2026.06.29.",,"2022.05.16.
2022.11.29.
2023.10.26.
2024.08.16.
2025.08.17.
2026.08.13.",2026.05.29.,
4,빗썸,주식회사 빗썸,220-88-71844,가 ~ 마,이재원,서울특별시 강남구 테헤란로 124,2021.9.9. 접수,2021.12.02.,,"2022.05.16.
2022.07.12.
2022.12.09.
2023.06.09.
2024.05.31.
2026.03.19.
2026.08.11.",,"2022.05.16.
2023.06.09.
2024.05.31.
2024.09.24
2025.01.10
2026.03.23.",,
5,플라이빗,주식회사 한국디지털거래소,194-87-00761,다 ~ 마,김석진,서울특별시 강남구 테헤란로 143,2021.9.17. 접수,2021.12.01.,"2022.04.07.
2024.01.17.
2025.05.01.","2023.05.24.
2026.07.01.",,,2025.03.22.,
6,고팍스,주식회사 스트리미,432-87-00120,가 ~ 마,김나영,서울특별시 강남구 봉은사로 179,2021.9.24. 접수,2021.12.09.,2024.01.17.,"2022.07.21.
2025.10.15.
2026.01.09.
2026.07.23.",,"2022.04.21.
2022.10.18.
2024.08.09.
2026.02.06.",,
7,BTX,차일들리 주식회사,729-86-01268,다 ~ 마,김은태,서울특별시 금천구 가산디지털1로 168,2021.9.24. 접수,2021.12.09.,"2022.07.11.
2025.05.22.",2026.08.26.,,,2026.02.06.,
8,포블,주식회사 포블게이트,136-87-01478,다 ~ 마,안현준,서울특별시 서초구 서초대로 397,2021.9.24. 접수,2021.12.21.,2025.07.07.,"2022.06.09.
2023.04.07.
2025.03.10.",,,2025.03.22.,
9,코어닥스,㈜코어닥스,894-86-01183,가 ~ 마,권웅,서울특별시 구로구 디지털로 242,2021.9.24. 접수,2021.12.17.,,"2022.05.25.
2023.05.25.
2025.10.22.
2026.06.11.",,,,
10,비블록,주식회사 그레이브릿지,155-86-01720,다 ~ 마,황익찬,서울특별시 강남구 선릉로131길 9,2021.9.23. 접수,2021.12.23.,,"2022.04.07.
2022.05.17.
2022.09.22.
2024.01.02.
2025.07.15.
2025.11.04.",,,2025.02.15.,
11,크립토닷컴,주식회사 포리스닥스코리아리미티드,885-88-00694,가 ~ 마,홍성준,서울특별시 종로구 종로3길 17,2021.9.23. 접수,2021.12.30.,2023.06.12.,"2022.08.16.
2025.07.18.
2026.04.30.",,,,
12,빗크몬,주식회사 골든퓨쳐스,791-81-00992,다 ~ 마,권정만,서울특별시 강남구 논현로 99길 37,2021.9.24. 접수,2021.12.30.,"2025.05.01
2026.03.12.",,,,2025.04.25.,
13,프라뱅,주식회사 프라뱅,681-81-01205,다 ~ 마,김상진,서울시 강서구 양천로 354,2021.9.23. 접수,2021.12.30.,"2023.05.10.
2025.12.24.","2023.02.24.
2023.05.10.
2023.09.05.
2026.08.26.",,,2025.01.03.,
14,보라비트,주식회사 보라비트,280-88-00977,가 ~ 마,임지현,서울특별시 서초구 효령로 255 2층,2021.9.24. 접수,2021.12.30.,"2022.06.28.
2026.01.14.","2022.10.05.
2022.12.23.
2023.06.12.
2023.07.14.
2023.09.22.
2024.02.08.
2025.12.05.
2026.02.05.
2026.03.19.",,,,
15,코다(KODA),주식회사 한국디지털에셋,618-81-36254,"다, 라",조진석,서울특별시 강남구 테헤란로 238,2021.9.17. 접수,2021.12.17.,2026.02.04.,"2023.07.26.
2024.01.02
2024.11.26
2026.03.19.",,,2025.02.28.,
16,케이닥(KDAC),주식회사 한국디지털자산수탁,809-86-01583,"다, 라","조성일, 김준홍",서울특별시 강남구 봉은사로 514,2021.9.24. 접수,2021.12.17.,2026.08.14.,"2022.06.02.
2023.06.12.
2023.12.11.
2024.09.04.
2025.06.17.
2026.01.09.
2026.04.21.",2022.10.05.,,2025.03.22.,
17,오하이월렛,주식회사 헥토월렛원,636-88-00831,"다, 라",최정록,서울특별시 강남구 테헤란로 223 ,2021.9.24. 접수,2021.12.30.,2025.12.19.,"2022.06.14.
2024.04.26.
2024.06.21.
2025.12.05.",,,2025.03.28.,
18,하이퍼리즘,하이퍼리즘 유한책임회사,477-86-01090,가 ~ 다,"오상록, 이원준",서울특별시 관악구 관악로 217,2021.9.24. 접수,2022.01.07.,"2022.09.16.
2025.04.18","2022.12.14.
2023.10.13.",,,,
19,오아시스거래소,㈜가디언홀딩스,826-81-00997,가 ~ 마,이동민,서울특별시 강남구 도산대로 146,2021.9.24. 접수,2022.02.10.,"2023.05.19.
2024.02.22.
2025.03.10.","2022.09.16.
2025.03.10.
2025.08.05.",,,,
20,커스텔라,주식회사 마인드시프트,634-86-01747,"다, 라",박용건,대구광역시 중구 국채보상로 558-1,2022.5.24. 접수,2022.06.27.,2024.04.11.,"2023.06.16.
2024.04.11.
2025.04.17.",,,,
21,인피닛블록,주식회사 인피닛블록,306-88-02374,"다, 라",정구태,서울특별시 강남구 테헤란로77길 11-12,2023.5.10. 접수,2023.08.07.,,"2024.01.02.
2026.06.11.",,,,
22,디에스알브이랩스,㈜디에스알브이랩스,659-87-01307,"다, 라","김지윤, 서병윤",서울특별시 강남구 테헤란로19길 73(역삼동),2023.10.6. 접수,2024.09.25.,2025.09.15.,"2025.02.21
2025.09.15.
2025-11-04",,,,
23,비댁스,비댁스 주식회사,376-88-02126,"다, 라",류홍열,서울특별시 강남구 테헤란로38길 5,2024.2.14. 접수,2024.09.25.,"2025.05.01.
2026.08.12.",2025.05.22,,,,
24,INEX(인엑스),㈜인피니티익스체인지코리아,783-81-02738,다 ~ 마,이재강,서울특별시 강남구 테헤란로 116,2023.12.21. 접수,2024.10.15.,,"2025.07.07.
2026.01.09.
2026.03.19.",,,,
25,웨이브릿지 프라임,㈜웨이브릿지,767-88-01245,나~마,오종욱,서울특별시 중구 서소문로 50,2023.9.20. 접수,2024.12.18.,,,,,,
26,바우맨,㈜해피블록,712-86-02691,나~마,김규윤,서울특별시 영등포구 국제금융로106,2024.01.04. 접수,2025.01.17.,,,,,,
27,로빗,㈜블로세이프,741-86-02855,"다, 라",한성주,"서울특별시 강남구 논현로 75길 15, 301호",2024.01.03. 접수,2025.08.29.,,,,,,
28,ABC Cloud Wallet,㈜안랩블록체인컴퍼니,411-87-02306,"다, 라",강석균,"경기도 성남시 분당구 판교역로 220, 5층",2024.06.10. 접수,2026.04.23.,,2026.07.15.,,,,
29,비트고코리아,비트고코리아㈜,549-88-03024,다 ~ 마,첸빙팡,"서울특별시 용산구 장문로 54, 6층(동빙고동)",2025.09.04. 접수,2026.08.18.,,,,,,
,,,,,총 29개사,,29개,29개,18개,24개,1개,5개,12개,0개
1) 가. 가상자산을 매도·매수,,,,,,,,,,,,,,
   나. 가상자산을 다른 가상자산과 교환,,,,,,,,,,,,,,
   다. 가상자산을 이전,,,,,,,,,,,,,,
   라. 가상자산을 보관·관리,,,,,,,,,,,,,,
   마. 가상자산의 매도·매수 및 다른 가상자산과 교환하는 행위의 중개·알선·대행하는 행위,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"※ 신고 유효기간 만료된 미갱신 사업자 : 지닥(GDAC)(㈜피어테크), 프로비트(오션스㈜), 후오비코리아(후오비㈜), 플랫타익스체인지(㈜플랫타이엑스), 한빗코(㈜한빗코코리아), 비트레이드(㈜블록체인컴퍼니), 코인엔코인(㈜코엔코코리아), 캐셔레스트(㈜뉴링크), 텐앤텐(㈜텐앤텐), 에이프로빗(㈜에이프로코리아), 마이키핀월렛(㈜씨피랩스), 큐비트(큐비트㈜), 카르도(㈜카르도), 델리오(㈜델리오), 페이코인(PayProtocol AG), 코인빗(㈜엑시아소프트)",,,,,,,,,,,,,,
"※ 미갱신 사업자도 이용자 자산의 이전·반환이 완료될 때까지, 「가상자산이용자보호법」상 가상자산사업자에 해당  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
